major minor  #blocks  name

 253        0     196608 zram0
 179        0    3866624 mmcblk0
 179        1      65536 mmcblk0p1
 179        2        512 mmcblk0p2
 179        3        512 mmcblk0p3
 179        4       1024 mmcblk0p4
 179        5       1024 mmcblk0p5
 179        6        512 mmcblk0p6
 179        7        512 mmcblk0p7
 179        8        512 mmcblk0p8
 179        9        512 mmcblk0p9
 179       10        512 mmcblk0p10
 179       11        512 mmcblk0p11
 179       12       1024 mmcblk0p12
 179       13       1536 mmcblk0p13
 179       14       1536 mmcblk0p14
 179       15       1024 mmcblk0p15
 179       16          1 mmcblk0p16
 179       17          8 mmcblk0p17
 179       18      10240 mmcblk0p18
 179       19         32 mmcblk0p19
 179       20       1536 mmcblk0p20
 179       21         16 mmcblk0p21
 179       22      16384 mmcblk0p22
 179       23     819200 mmcblk0p23
 179       24      32768 mmcblk0p24
 179       25     131072 mmcblk0p25
 179       26      16384 mmcblk0p26
 179       27    2652607 mmcblk0p27
 179       32        512 mmcblk0rpmb
